name,tic_id,stage1_rank,GM,GL,EM,CM,lya,fuv,acq,Tacq,GMbuff,GLbuff,EMbuff,Mdwarf,lbl1,lbl2
TOI-2015,368287008,97,,,1,1,1,1,F28X50LP,9.4,6894622.2,5404648.6,13952975.7,True,AB,NB
K2-3,173103335,93,1,,,,1,,F28X50LP,0.1,7531727.7,5829156.3,15345785.0,True,AC,NC
TOI-1728,285048486,100,1,,,,1,,F28X50LP,0.1,314443.2,243362.3,640673.5,True,AD,ND
TOI-233,415969908,101,1,1,,,1,1,F28X50LP,0.2,21659.7,16763.4,44131.3,True,AE,NE
TOI-6078,119973835,103,1,1,,,1,1,F25ND3,9.9,12446.8,8873.2,27305.7,False,AF,NF
TOI-4438,22233480,104,1,1,,,1,1,F28X50LP,0.3,29969800.0,23266442.7,61885836.1,True,AG,NG
TOI-1452,420112589,102,,,1,,1,,F28X50LP,0.1,13511.3,10591.4,27343.4,True,AH,NH
TOI-4336 A,166184428,65,1,1,,,1,1,F28X50LP,0.1,4265237.1,3311229.8,8807458.3,True,AI,NI
TOI-687,74534430,107,1,1,,,1,1,F25ND3,25.0,7026.8,5144.3,15327.3,False,AJ,NJ
TOI-1751,287080092,112,1,,,,1,,F25ND3,7.8,33614.8,25404.2,67172.6,False,AK,NK
TOI-1696,470381900,108,1,,,,1,,F28X50LP,3.1,4347833.4,3408237.8,8798917.8,True,AL,NL
GJ 3090,262530407,20,1,,,1,1,1,F25ND3,12.2,14259.8,11036.3,29054.1,True,AM,NM
TOI-2276,198456933,113,1,,,,1,,F25ND3,7.2,66742.8,47579.9,146419.7,False,AN,NN
TOI-1268,142394656,118,1,,,,1,,F25ND3,38.8,1511217.2,1077323.0,3315293.9,False,AO,NO
KELT-2 A,97735908,120,1,,,,1,,F25ND3,3.9,446326.7,164130.3,436379.5,False,AP,NP
TOI-1235,103633434,123,1,1,,,1,1,F28X50LP,0.1,4753478.9,3678939.6,9685143.8,True,AQ,NQ
HD 3167,318707987,124,,1,,,,1,F25ND3,2.6,187828.0,133899.6,412055.3,False,AR,NR
TOI-1691,268334473,110,1,,,,1,,F25ND3,15.9,273485.8,206685.5,546507.8,False,AS,NS
TOI-6850,9166136,126,1,1,,,1,1,F25ND3,24.0,179737.7,131584.6,392053.9,False,AT,NT
TOI-122,231702397,130,1,,,,1,,F28X50LP,4.2,186244513.2,144587127.6,384583728.6,True,AU,NU
