Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity,Comments
TOI-727,130.73683370364003,1.4799999917158857e-05,-2.4980684257699997,1.4799999917158857e-05,ICRS,2000.0,22.506,MAS/YR,-119.969,MAS/YR,0.0234182,12.883558616638183,,"G=12.05, NUV=17.97",STAR,"[M V-IV, Extra-solar Planetary System]",24.28,Predicted Lya flux before ISM absorption 4.5e-13;FUV used for buffer time estimate 21.93;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.49;stellar Teff 3653.00;GALEX fuv mag > 21.93;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-6871,48.93682943879001,1.3799999578623101e-05,18.484698162809998,1.3799999578623101e-05,ICRS,2000.0,1.501,MAS/YR,-37.574,MAS/YR,0.013492,9.59000015258789,,"G=9.42, NUV=15.42",STAR,"[G V-IV, Extra-solar Planetary System]",1.35,Predicted Lya flux before ISM absorption 6.4e-14;FUV used for buffer time estimate 21.33;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.98;stellar Teff 5647.10;GALEX fuv mag > 21.33;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-2287,222.75648924485003,1.1199999789823778e-05,85.89555301474,1.1199999789823778e-05,ICRS,2000.0,-94.727,MAS/YR,-37.652,MAS/YR,0.0104947,9.100000381469727,,"G=8.97, NUV=14.61",STAR,"[F3-F9, Extra-solar Planetary System]",-50.04,Predicted Lya flux before ISM absorption 7.2e-14;FUV used for buffer time estimate 21.60;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 1.12;stellar Teff 6037.00;GALEX fuv mag > 21.60;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-4185,172.22835975979,1.2799999240087345e-05,-38.10727864708,1.2799999240087345e-05,ICRS,2000.0,-86.607,MAS/YR,70.026,MAS/YR,0.010026400000000001,11.59000015258789,,"G=11.31, NUV=18.83",STAR,"[K V-IV, Extra-solar Planetary System]",-14.49,Predicted Lya flux before ISM absorption 1.6e-13;FUV used for buffer time estimate 21.18;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.70;stellar Teff 4395.60;GALEX fuv mag > 21.18;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-270,68.41550005322001,1.4000000192027073e-05,-51.9562320481,1.4000000192027073e-05,ICRS,2000.0,83.082,MAS/YR,-269.803,MAS/YR,0.0444899,12.616999626159668,0.039,"G=11.62, NUV=21.46",STAR,"[M V-IV, Extra-solar Planetary System]",26.45,Predicted Lya flux before ISM absorption 7.0e-14;FUV used for buffer time estimate 21.85;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.39;stellar Teff 3506.00;GALEX fuv mag > 21.85;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-771,164.11331200372834,1.3899999430577736e-05,-72.98484460313111,1.3899999430577736e-05,ICRS,2000.0,39.3,MAS/YR,-76.417,MAS/YR,0.0394467,14.888,0.08,G=13.34,STAR,"[M V-IV, Extra-solar Planetary System]",-5.9,Predicted Lya flux before ISM absorption 3.7e-14;FUV used for buffer time estimate 32.78;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.22;stellar Teff 3370.00;GALEX fuv mag > 20.52;Rossby number estimate of 14.00 based on measured 98.0 d rotation period;cataloged age of 7 Gyr
TOI-1752,253.46299293535006,1.1900000572495628e-05,60.70908111437999,1.1900000572495628e-05,ICRS,2000.0,-171.226,MAS/YR,125.089,MAS/YR,0.009686400000000001,14.629103736877441,,"G=13.80, NUV=24.48",STAR,"[M V-IV, Extra-solar Planetary System]",-72.643,Predicted Lya flux before ISM absorption 4.0e-15;FUV used for buffer time estimate 23.01;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.49;stellar Teff 3652.00;GALEX fuv mag > 21.69;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-4643,32.21805046926,1.8799999452312477e-05,4.30641472677,1.8799999452312477e-05,ICRS,2000.0,-19.486,MAS/YR,119.115,MAS/YR,0.0250619,12.329999923706055,,"G=11.60, NUV=21.87",STAR,"[M V-IV, Extra-solar Planetary System]",9.44,Predicted Lya flux before ISM absorption 3.8e-14;FUV used for buffer time estimate 21.79;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.54;stellar Teff 3782.00;GALEX fuv mag > 21.79;Rossby number unknown due to no cataloged rotation period;no cataloged age
K2-25,63.273388072530004,2.8899999961140566e-05,15.247782800160001,2.8899999961140566e-05,ICRS,2000.0,122.45,MAS/YR,-18.603,MAS/YR,0.022357199999999997,15.5600004196167,0.2,"G=14.36, NUV=23.34",STAR,"[M V-IV, Extra-solar Planetary System]",38.64,Predicted Lya flux before ISM absorption 1.4e-14;FUV used for buffer time estimate 25.49;deemed ACTIVE on the basis of Rossby number <= 0.5;stellar mass 0.26;stellar Teff 3207.00;GALEX fuv mag > 21.35;Rossby number estimate of 0.26 based on measured 1.9 d rotation period;cataloged age of 0.7 Gyr
TOI-2158,276.81025474769,6.399999620043673e-06,20.526853001419997,6.399999620043673e-06,ICRS,2000.0,-43.94,MAS/YR,7.844,MAS/YR,0.0050916,10.890000343322754,0.006,"G=10.67, NUV=17.37",STAR,"[G V-IV, Extra-solar Planetary System]",-108.14,Predicted Lya flux before ISM absorption 1.5e-14;FUV used for buffer time estimate 24.64;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 1.12;stellar Teff 5673.00;GALEX fuv mag > 21.41;Rossby number estimate of 1.15 based on measured 19.0 d rotation period;cataloged age of 8 Gyr
TOI-4556,182.92642632403835,2.0300001779105514e-05,-32.531363248246386,2.0300001779105514e-05,ICRS,2000.0,-266.319,MAS/YR,-282.689,MAS/YR,0.0272463,15.52197315979004,,"G=14.30, NUV=21.82",STAR,"[M V-IV, Extra-solar Planetary System]",,Predicted Lya flux before ISM absorption 4.2e-14;FUV used for buffer time estimate 23.71;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.30;stellar Teff 3319.00;GALEX fuv mag > 21.33;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-6054,56.33748594781001,1.3899999430577736e-05,60.35093784538,1.3899999430577736e-05,ICRS,2000.0,-55.038,MAS/YR,-4.837,MAS/YR,0.0127014,8.010000228881836,0.03,G=7.89,STAR,"[F3-F9, Extra-solar Planetary System]",-14.739,Predicted Lya flux before ISM absorption 1.0e-13;FUV used for buffer time estimate 19.45;deemed INACTIVE on the basis of age > 1;stellar mass 1.11;stellar Teff 6047.00;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;cataloged age of 6 Gyr
TOI-4529,16.96762774756,2.4900000425986946e-05,12.881053768169998,2.4900000425986946e-05,ICRS,2000.0,275.861,MAS/YR,-22.973,MAS/YR,0.0352305,12.214,0.146,"G=11.22, NUV=21.41",STAR,"[M V-IV, Extra-solar Planetary System]",,Predicted Lya flux before ISM absorption 6.3e-14;FUV used for buffer time estimate 26.99;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.48;stellar Teff 3697.00;GALEX fuv mag > 21.85;Rossby number estimate of 2.59 based on measured 20.7 d rotation period;no cataloged age
WASP-8,359.90029661347006,1.2200000128359534e-05,-35.03136767178,1.2200000128359534e-05,ICRS,2000.0,109.752,MAS/YR,7.615,MAS/YR,0.011105199999999999,9.869999885559082,0.003,"G=9.62, NUV=16.36, FUV=22.31",STAR,"[G V-IV, Extra-solar Planetary System]",-1.5,Predicted Lya flux before ISM absorption 4.0e-14;FUV used for buffer time estimate 22.31;deemed INACTIVE on the basis of age > 1;stellar mass 1.34;stellar Teff 5600.00;GALEX fuv mag = 22.31;Rossby number unknown due to no cataloged rotation period;cataloged age of 3 Gyr
