name,slctd,rank,name,slctd,rank,name,slctd,rank,diff,name,slctd,rank,diff
TOI-122,1,118,HD 23472,1,123,HD 23472,1,123,0,HD 23472,1,122,1
TOI-620,1,119,HD 23472,1,123,HD 23472,1,123,0,TOI-870,1,123,1
K2-9,1,120,TOI-870,1,124,TOI-870,1,124,0,TOI-133,1,124,1
TOI-6992,1,121,TOI-133,1,125,TOI-133,1,125,0,Wolf 503,1,125,1
TOI-2136,1,122,Wolf 503,1,126,Wolf 503,1,126,0,TOI-2079,1,126,1
HD 23472,1,123,TOI-2079,1,127,TOI-2079,1,127,0,TOI-2079,1,126,1
HD 23472,1,123,TOI-2079,1,127,TOI-2079,1,127,0,TOI-5388,1,127,3
HD 23472,1,123,TOI-5388,1,128,TOI-5388,1,128,2,Kepler-10,1,128,0
HD 23472,1,123,Kepler-10,1,129,Kepler-10,1,129,-1,Kepler-10,1,128,0
HD 23472,1,123,Kepler-10,1,129,Kepler-10,1,129,-1,HIP 94235,1,129,0
TOI-870,1,124,HIP 94235,1,130,HIP 94235,1,130,-1,K2-174,1,131,1
TOI-133,1,125,K2-174,1,132,K2-174,1,132,0,TOI-1695,1,132,2
Wolf 503,1,126,TOI-1695,1,133,TOI-1695,1,133,1,TOI-2128,1,133,0
TOI-2079,1,127,TOI-2128,1,134,TOI-2128,1,134,-1,TOI-771,1,134,
TOI-2079,1,127,TOI-771,1,135,TOI-771,1,135,,TOI-5788,1,135,0
Kepler-10,1,128,TOI-5788,1,136,TOI-5788,1,136,-1,TOI-5788,1,135,0
Kepler-10,1,128,TOI-5788,1,136,TOI-5788,1,136,-1,TOI-727,1,137,0
HIP 94235,1,129,TOI-727,1,138,TOI-727,1,138,-1,TOI-727,1,137,0
