# from https://www.stsci.edu/hst/instrumentation/focus-and-pointing/fov-geometry
# Aperture  ProposalID   Xref      Yref     V2ref     V3ref    Xscale    Yscale    Betax    Betay
#                          pixels            arc-seconds         arcsec/pixel         degrees
#
OFUV                       1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ONUV                       1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OVIS                        537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
ONWGA25     WEDGEA2.5       189.20   2273.03 -210.3004 -242.9308  0.012375  0.012375   45.0000  135.0000
ONWGA28     WEDGEA2.8       191.04   2767.70 -205.9711 -247.2285  0.012375  0.012375   45.0000  135.0000
ONWGB10     WEDGEB1.0      -214.07    178.08 -232.0531 -228.1479  0.012375  0.012375   45.0000  135.0000
ONWGB18     WEDGEB1.8      1087.59    175.03 -220.8310 -216.8723  0.012375  0.012375   45.0000  135.0000
ONWGB20     WEDGEB2.0      1413.01    174.26 -218.0254 -214.0534  0.012375  0.012375   45.0000  135.0000
ONWGB25     WEDGEB2.5      2226.55    172.35 -211.0116 -207.0061  0.012375  0.012375   45.0000  135.0000
ONWGB28     WEDGEB2.8      2714.67    171.21 -206.8032 -202.7777  0.012375  0.012375   45.0000  135.0000
OF50COR     50CORON        1054.51   1041.69 -213.5599 -224.7156  0.012371  0.012371   45.0000  135.0000
OFBAR10     BAR10          1484.87   2402.16 -197.9826 -232.8577  0.012371  0.012371   45.0000  135.0000
OFBAR5                     2813.59   1820.58 -191.5745 -216.3097  0.012371  0.012371   45.0000  135.0000
OFWGA10     WEDGEA1.0       179.68   -200.70 -231.9472 -221.4423  0.012371  0.012371   45.0000  135.0000
OFWGA18     WEDGEA1.8       184.58   1118.82 -220.4022 -232.9029  0.012371  0.012371   45.0000  135.0000
OFWGA20     WEDGEA2.0       185.80   1448.70 -217.5160 -235.7680  0.012371  0.012371   45.0000  135.0000
OFWGA25     WEDGEA2.5       188.86   2273.40 -210.3004 -242.9308  0.012371  0.012371   45.0000  135.0000
OFWGA28     WEDGEA2.8       190.70   2768.22 -205.9711 -247.2285  0.012371  0.012371   45.0000  135.0000
OFWGB10     WEDGEB1.0      -214.58    177.83 -232.0531 -228.1479  0.012371  0.012371   45.0000  135.0000
OFWGB18     WEDGEB1.8      1087.62    174.77 -220.8310 -216.8723  0.012371  0.012371   45.0000  135.0000
OFWGB20     WEDGEB2.0      1413.17    174.01 -218.0254 -214.0534  0.012371  0.012371   45.0000  135.0000
OFWGB25     WEDGEB2.5      2227.04    172.10 -211.0116 -207.0061  0.012371  0.012371   45.0000  135.0000
OFWGB28     WEDGEB2.8      2715.36    170.95 -206.8032 -202.7777  0.012371  0.012371   45.0000  135.0000
OF050X29    0.05X29        1039.14   1041.67 -213.6927 -224.8482  0.012371  0.012371   45.0000  135.0000
ON050X29    0.05X29        1039.14   1041.67 -213.6927 -224.8482  0.012375  0.012375   45.0000  135.0000
OV050X29    0.05X29         536.63    516.00 -213.6927 -224.8482  0.050763  0.050777   45.0559  135.0559
OF090X29    0.09X29        1041.76   1041.68 -213.6701 -224.8256  0.012371  0.012371   45.0000  135.0000
ON090X29    0.09X29        1041.75   1041.67 -213.6701 -224.8256  0.012375  0.012375   45.0000  135.0000
OV090X29    0.09X29         537.26    516.00 -213.6701 -224.8256  0.050763  0.050777   45.0559  135.0559
OF200X29    0.2X29         1046.33   1041.68 -213.6305 -224.7861  0.012371  0.012371   45.0000  135.0000
ON200X29    0.2X29         1046.32   1041.68 -213.6305 -224.7861  0.012375  0.012375   45.0000  135.0000
OV200X29    0.2X29          538.36    516.00 -213.6305 -224.7861  0.050763  0.050777   45.0559  135.0559
OV28X50LP   F28X50LP        537.00    516.00 -213.6341 -224.7896  0.050763  0.050777   45.0559  135.0559
OV28X50O3   F28X50OIII      537.00    516.00 -213.6341 -224.7896  0.050763  0.050777   45.0559  135.0559
OV28X50O2   F28X50OII       537.00    516.00 -213.6324 -224.7879  0.050763  0.050777   45.0559  135.0559
OF25ND3     F25ND3         1040.66   1041.68 -213.6264 -224.7819  0.012371  0.012371   45.0000  135.0000
ON25ND3     F25ND3         1040.65   1041.67 -213.6286 -224.7841  0.012375  0.012375   45.0000  135.0000
OV25ND3     F25ND3          537.00    516.00 -213.6348 -224.7904  0.050763  0.050777   45.0559  135.0559
OF25ND5     F25ND5         1040.66   1041.68 -213.6264 -224.7819  0.012371  0.012371   45.0000  135.0000
ON25ND5     F25ND5         1040.65   1041.67 -213.6286 -224.7841  0.012375  0.012375   45.0000  135.0000
OV25ND5     F25ND5          537.00    516.00 -213.6348 -224.7904  0.050763  0.050777   45.0559  135.0559
OF31X050A   31X0.05NDA     1038.35   1041.67 -213.6463 -224.8018  0.012371  0.012371   45.0000  135.0000
ON31X050A   31X0.05NDA     1038.35   1041.67 -213.6485 -224.8040  0.012375  0.012375   45.0000  135.0000
OV31X050A   31X0.05NDA      536.44    516.00 -213.6548 -224.8102  0.050763  0.050777   45.0559  135.0559
OF31X050B   31X0.05NDB     1036.15   1041.67 -213.6654 -224.8208  0.012371  0.012371   45.0000  135.0000
ON31X050B   31X0.05NDB     1036.15   1041.67 -213.6675 -224.8230  0.012375  0.012375   45.0000  135.0000
OV31X050B   31X0.05NDB      535.91    516.00 -213.6738 -224.8292  0.050763  0.050777   45.0559  135.0559
OF31X050C   31X0.05NDC     1036.23   1041.67 -213.6647 -224.8201  0.012371  0.012371   45.0000  135.0000
ON31X050C   31X0.05NDC     1036.23   1041.67 -213.6668 -224.8223  0.012375  0.012375   45.0000  135.0000
